Depth m,Bulk Den. [g/cm3],Grain den. (g/cm3),Porosity,Void ratio,Vp [km/s]
263.62,1.863,2.851,0.541,1.179,1.65184122254579
264.86,1.909,2.891,0.526,1.11,1.6695918310750915
267.15,1.896,2.829,0.517,1.069,1.6809883617285992
273.38,1.976,2.957,0.508,1.031,1.6929763309587043
274.46,1.919,2.826,0.503,1.013,1.699902010853489
277.66,1.845,2.872,0.556,1.251,1.6355478234389693
278.55,1.87,2.872,0.542,1.184,1.6507108570934799
283.03,1.913,2.832,0.509,1.035,1.6916142789636468
290.25,1.903,2.937,0.54,1.176,1.6529780609651175
291.53,1.959,2.821,0.48,0.923,1.7343653800688834
296.94,1.95,2.867,0.498,0.991,1.7070237116161733
298.22,2.012,2.932,0.48200000000000004,0.931,1.7311908885237957
305.64,1.683,2.834,0.636,1.745,1.569341825357604
315.45,1.741,2.824,0.601,1.509,1.594415990486438
325.45,1.727,2.862,0.618,1.614,1.5815525391052727
335.24,2.165,2.836,0.37,0.588,1.975634886585226
337.97,1.587,2.849,0.691,2.241,1.5398848461401777
338.81,1.589,2.779,0.6779999999999999,2.105,1.5458715079391214
344.53,1.735,2.853,0.611,1.573,1.586686570683356
346.03,1.58,2.625,0.653,1.881,1.5590390451486338
348.24,1.654,2.925,0.669,2.017,1.5503528849068358
354.41,2.044,2.791,0.423,0.732,1.8412508146668731
354.82,1.695,2.969,0.655,1.9,1.5579011962808385
356.13,1.6,2.809,0.677,2.098,1.5463555542444645
356.99,1.641,2.866,0.665,1.985,1.5524364588242547
364.11,1.609,2.865,0.682,2.148,1.5439693813585587
364.7,1.792,2.742,0.5529999999999999,1.238,1.6386950361425074
373.71,1.589,2.791,0.68,2.129,1.544913662601393
375.28,1.829,2.728,0.528,1.117,1.6671369187851681
375.47,1.607,2.71,0.654,1.892,1.5584682191516408
378.03,1.81,2.963,0.595,1.469,1.5992848744505497
383.96,1.901,2.835,0.516,1.065,1.6822906575223247
385.48,1.884,2.99,0.562,1.285,1.6294149446439166
386.37,1.656,2.744,0.632,1.72,1.5719358977014268
393.63,2.001,2.828,0.45799999999999996,0.846,1.7717009205895056
393.85,1.555,2.613,0.6659999999999999,1.991,1.5519101724901812
404.2,1.793,2.849,0.579,1.375,1.6131601964880935
414.28,1.791,2.867,0.584,1.403,1.6086810662930882
415.61,1.615,2.692,0.645,1.821,1.5637446280524334
424.23,1.454,2.404,0.688,2.206,1.5412167520160063
427.46,1.92,2.91,0.525,1.105,1.6708297339607392
428.09,1.763,2.834,0.5920000000000001,1.449,1.6017863076264574
431.85,1.898,2.827,0.515,1.062,1.6836002906499314
437.38,2.083,2.823,0.41100000000000003,0.699,1.8683445316172338
441.42,2.065,2.708,0.382,0.618,1.9416904558680632
